name_as_published,n_sources,sources,occurrences,district_id,label_type,normalised_key,display_name
PURI,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,171,OD26,district,PURI,Puri
Puri,20,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,752,OD26,district,PURI,Puri
RAYAGADA,1,earas_2022_23:blockwise_LUS_202223,144,OD27,district,RAYAGADA,Rayagada
RAYGADA,1,earas_2022_23:distwise_minorcrops_AYP2022-23,27,OD27,district,RAYGADA,Rayagada
Rayagada,18,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf,516,OD27,district,RAYAGADA,Rayagada
Rayagarh,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,4,OD27,district,RAYAGARH,Rayagada
Raygada,5,earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,236,OD27,district,RAYGADA,Rayagada
SAMBALPUR,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,147,OD28,district,SAMBALPUR,Sambalpur
SUBARNAPUR,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,111,OD29,district,SUBARNAPUR,Subarnapur
SUNDARGARH,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,243,OD30,district,SUNDARGARH,Sundargarh
Sambalpur,21,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,724,OD28,district,SAMBALPUR,Sambalpur
Sonepur,6,OES_2026:Table 9.5; earas_2023_24:dist_paddy_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,241,OD29,district,SONEPUR,Subarnapur
Subarnapur,17,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x,406,OD29,district,SUBARNAPUR,Subarnapur
Subarnpur,3,earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,16,OD29,district,SUBARNPUR,Subarnapur
Sundargarh,21,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,851,OD30,district,SUNDARGARH,Sundargarh
Sundergarh,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,20,OD30,district,SUNDERGARH,Sundargarh
*Area figure calculated without normalization factor.,1,OES_2026:Table 3.20,1,,not_a_district_label,AREAFIGURECALCULATEDWITHOUTNORMALIZATIONFACTOR,
Artisan grade stone,1,OES_2026:Table 5. 8,1,,not_a_district_label,ARTISANGRADESTONE,
Balangir-Bargarh,1,OES_2026:Table 5. 8,1,,not_a_district_label,BALANGIRBARGARH,
Biri,1,earas_report_2022_23:district_tables,2,,not_a_district_label,BIRI,
Groundnu,1,earas_report_2022_23:district_tables,1,,not_a_district_label,GROUNDNU,
Groundnut,1,earas_report_2022_23:district_tables,1,,not_a_district_label,GROUNDNUT,
"Jharsuguda, Sambalpur & Anugul, Dhenkanal, Deogarh",1,OES_2026:Table 5. 8,1,,not_a_district_label,JHARSUGUDASAMBALPURANUGULDHENKANALDEOGARH,
Jute,1,earas_report_2022_23:district_tables,2,,not_a_district_label,JUTE,
Kalahandi-Rayagada,1,OES_2026:Table 5. 8,1,,not_a_district_label,KALAHANDIRAYAGADA,
Kulthi,1,earas_report_2022_23:district_tables,2,,not_a_district_label,KULTHI,
Maize,1,earas_report_2022_23:district_tables,2,,not_a_district_label,MAIZE,
Mung,1,earas_report_2022_23:district_tables,2,,not_a_district_label,MUNG,
Mustard,1,earas_report_2022_23:district_tables,1,,not_a_district_label,MUSTARD,
Niger,1,earas_report_2022_23:district_tables,2,,not_a_district_label,NIGER,
Paddy,1,earas_report_2022_23:district_tables,2,,not_a_district_label,PADDY,
Potato,1,earas_report_2022_23:district_tables,2,,not_a_district_label,POTATO,
Ragi,1,earas_report_2022_23:district_tables,2,,not_a_district_label,RAGI,
"Source: Directorate of Agriculture and Food Production, Odisha & Directorate of Horticulture, Odisha",1,OES_2026:Table 3.6,1,,not_a_district_label,SOURCEDIRECTORATEOFAGRICULTUREANDFOODPRODUCTIONODISHADIRECTORATEOFHORTICULTUREODISHA,
"Source: Directorate of Agriculture and food production, Government of Odisha",1,OES_2026:Table 3.13,1,,not_a_district_label,SOURCEDIRECTORATEOFAGRICULTUREANDFOODPRODUCTIONGOVERNMENTOFODISHA,
"Source: India State of Forest Report,2023, Government of India",1,OES_2026:Table 3.20,1,,not_a_district_label,SOURCEINDIASTATEOFFORESTREPORTGOVERNMENTOFINDIA,
Sugarcan,1,earas_report_2022_23:district_tables,1,,not_a_district_label,SUGARCAN,
Sugarcane,1,earas_report_2022_23:district_tables,1,,not_a_district_label,SUGARCANE,
Til,1,earas_report_2022_23:district_tables,2,,not_a_district_label,TIL,
Wheat,1,earas_report_2022_23:district_tables,2,,not_a_district_label,WHEAT,
i.e.,1,earas_report_2023_24:district_tables,1,,not_a_district_label,IE,
Grand Total,1,OES_2026:Table 3.20,1,OD00,state_total,GRANDTOTAL,
ORISSA  STATE,1,earas_2022_23:distwise_minorcrops_AYP2022-23,27,OD00,state_total,ORISSASTATE,
Odisha,2,OES_2026:Table 3.13; district_at_a_glance_2026,2,OD00,state_total,ODISHA,
STATE,2,earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x,198,OD00,state_total,STATE,
TOTAL,2,OES_2026:Table 3.2; OES_2026:Table 3.6,2,OD00,state_total,TOTAL,
Total,1,OES_2026:Table 5. 9,1,OD00,state_total,TOTAL,
tMustard,1,earas_report_2022_23:district_tables,1,,unmatched_report_text,TMUSTARD,
