reference_year,crop,product,season,measure,unit,raw_value,value,cell_status,source_report,report_year,table_no,pdf_page
2005-06,Groundnut,groundnut,Autumn,area,ha,34909,34909,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Winter,area,ha,3171,3171,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Summer,area,ha,52720,52720,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Total,area,ha,90800,90800,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,8.30,8.30,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Winter,yield_rate,qtl/ha,8.92,8.92,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Summer,yield_rate,qtl/ha,14.14,14.14,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Total,yield_rate,qtl/ha,11.71,11.71,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Autumn,production,qtl,289798,289798,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Winter,production,qtl,28283,28283,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Summer,production,qtl,745243,745243,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2005-06,Groundnut,groundnut,Total,production,qtl,1063324,1063324,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Autumn,area,ha,32928,32928,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Winter,area,ha,3535,3535,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Summer,area,ha,42429,42429,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Total,area,ha,78892,78892,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,8.75,8.75,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Winter,yield_rate,qtl/ha,11.47,11.47,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Summer,yield_rate,qtl/ha,12.92,12.92,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Total,yield_rate,qtl/ha,11.11,11.11,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Autumn,production,qtl,287957,287957,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Winter,production,qtl,40532,40532,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Summer,production,qtl,547983,547983,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2006-07,Groundnut,groundnut,Total,production,qtl,876472,876472,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Autumn,area,ha,31474,31474,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Winter,area,ha,2094,2094,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Summer,area,ha,50530,50530,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Total,area,ha,84098,84098,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,9.73,9.73,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Winter,yield_rate,qtl/ha,11.49,11.49,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Summer,yield_rate,qtl/ha,13.76,13.76,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Total,yield_rate,qtl/ha,12.20,12.20,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Autumn,production,qtl,306318,306318,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Winter,production,qtl,24060,24060,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Summer,production,qtl,695423,695423,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2007-08,Groundnut,groundnut,Total,production,qtl,1025801,1025801,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Autumn,area,ha,32265,32265,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Winter,area,ha,2065,2065,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Summer,area,ha,49116,49116,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Total,area,ha,83446,83446,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,9.73,9.73,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Winter,yield_rate,qtl/ha,11.07,11.07,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Summer,yield_rate,qtl/ha,12.78,12.78,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Total,yield_rate,qtl/ha,11.56,11.56,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Autumn,production,qtl,314065,314065,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Winter,production,qtl,22857,22857,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Summer,production,qtl,627884,627884,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2008-09,Groundnut,groundnut,Total,production,qtl,964806,964806,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Autumn,area,ha,30731,30731,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Winter,area,ha,3685,3685,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Summer,area,ha,41875,41875,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Total,area,ha,76291,76291,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,9.40,9.40,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Winter,yield_rate,qtl/ha,12.04,12.04,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Summer,yield_rate,qtl/ha,13.35,13.35,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Total,yield_rate,qtl/ha,11.69,11.69,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Autumn,production,qtl,288742,288742,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Winter,production,qtl,44385,44385,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Summer,production,qtl,558894,558894,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2009-10,Groundnut,groundnut,Total,production,qtl,892021,892021,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Autumn,area,ha,32004,32004,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Winter,area,ha,3074,3074,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Summer,area,ha,37698,37698,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Total,area,ha,72776,72776,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,9.60,9.60,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Winter,yield_rate,qtl/ha,11.72,11.72,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Summer,yield_rate,qtl/ha,13.62,13.62,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Total,yield_rate,qtl/ha,11.77,11.77,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Autumn,production,qtl,307281,307281,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Winter,production,qtl,36035,36035,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Summer,production,qtl,513329,513329,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2010-11,Groundnut,groundnut,Total,production,qtl,856645,856645,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Autumn,area,ha,27791,27791,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Winter,area,ha,2140,2140,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Summer,area,ha,36351,36351,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Total,area,ha,66282,66282,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,8.12,8.12,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Winter,yield_rate,qtl/ha,10.62,10.62,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Summer,yield_rate,qtl/ha,14.86,14.86,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Total,yield_rate,qtl/ha,11.89,11.89,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Autumn,production,qtl,225551,225551,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Winter,production,qtl,22736,22736,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Summer,production,qtl,540076,540076,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2011-12,Groundnut,groundnut,Total,production,qtl,788363,788363,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Autumn,area,ha,25179,25179,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Winter,area,ha,2487,2487,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Summer,area,ha,38683,38683,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Total,area,ha,66349,66349,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
