reference_year,source_report,pdf_page,table_no,sl_no,district_as_published,is_state_total,land_use_category,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Forest,area,'000 ha,72,72,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Forest,pct_of_area_under_survey,%,42.11,42.11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Land put to non-agricultural uses,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,8.77,8.77,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Barren and un-cultivable land,area,'000 ha,4,4,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Barren and un-cultivable land,pct_of_area_under_survey,%,2.34,2.34,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Permanent pastures and other grazing land,area,'000 ha,5,5,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,2.92,2.92,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,1,1,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,0.58,0.58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Cultivable waste,area,'000 ha,11,11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Cultivable waste,pct_of_area_under_survey,%,6.43,6.43,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Old fallows,area,'000 ha,10,10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Old fallows,pct_of_area_under_survey,%,5.85,5.85,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Current fallows,area,'000 ha,11,11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Current fallows,pct_of_area_under_survey,%,6.43,6.43,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Net area sown,area,'000 ha,42,42,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Net area sown,pct_of_area_under_survey,%,24.56,24.56,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Total area under survey,area,'000 ha,171,171,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Total area under survey,pct_of_geographical_area,%,61.51,61.51,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Area not included under survey,area,'000 ha,107,107,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,8,Deogarh,0,Geographical area,area,'000 ha,278,278,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Forest,area,'000 ha,51,51,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Forest,pct_of_area_under_survey,%,15.04,15.04,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Land put to non-agricultural uses,area,'000 ha,50,50,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,14.75,14.75,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Barren and un-cultivable land,area,'000 ha,8,8,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Barren and un-cultivable land,pct_of_area_under_survey,%,2.36,2.36,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Permanent pastures and other grazing land,area,'000 ha,13,13,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,3.83,3.83,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,10,10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,2.95,2.95,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Cultivable waste,area,'000 ha,33,33,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Cultivable waste,pct_of_area_under_survey,%,9.73,9.73,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Old fallows,area,'000 ha,33,33,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Old fallows,pct_of_area_under_survey,%,9.73,9.73,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Current fallows,area,'000 ha,36,36,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Current fallows,pct_of_area_under_survey,%,10.62,10.62,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Net area sown,area,'000 ha,105,105,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Net area sown,pct_of_area_under_survey,%,30.97,30.97,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Total area under survey,area,'000 ha,339,339,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Total area under survey,pct_of_geographical_area,%,73.70,73.70,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Area not included under survey,area,'000 ha,121,121,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,9,Dhenkanal,0,Geographical area,area,'000 ha,460,460,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Forest,area,'000 ha,65,65,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Forest,pct_of_area_under_survey,%,21.04,21.04,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Land put to non-agricultural uses,area,'000 ha,14,14,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,4.53,4.53,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Barren and un-cultivable land,area,'000 ha,122,122,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Barren and un-cultivable land,pct_of_area_under_survey,%,39.48,39.48,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Permanent pastures and other grazing land,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,4.85,4.85,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,7,7,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,2.27,2.27,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Cultivable waste,area,'000 ha,9,9,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Cultivable waste,pct_of_area_under_survey,%,2.91,2.91,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Old fallows,area,'000 ha,11,11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Old fallows,pct_of_area_under_survey,%,3.56,3.56,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Current fallows,area,'000 ha,12,12,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Current fallows,pct_of_area_under_survey,%,3.88,3.88,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Net area sown,area,'000 ha,54,54,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Net area sown,pct_of_area_under_survey,%,17.48,17.48,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Total area under survey,area,'000 ha,309,309,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Total area under survey,pct_of_geographical_area,%,80.26,80.26,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Area not included under survey,area,'000 ha,76,76,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,10,Gajapati,0,Geographical area,area,'000 ha,385,385,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Forest,area,'000 ha,44,44,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Forest,pct_of_area_under_survey,%,7.24,7.24,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Land put to non-agricultural uses,area,'000 ha,84,84,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,13.82,13.82,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Barren and un-cultivable land,area,'000 ha,63,63,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Barren and un-cultivable land,pct_of_area_under_survey,%,10.36,10.36,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Permanent pastures and other grazing land,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,2.47,2.47,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,23,23,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,3.78,3.78,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Cultivable waste,area,'000 ha,26,26,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Cultivable waste,pct_of_area_under_survey,%,4.28,4.28,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Old fallows,area,'000 ha,34,34,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Old fallows,pct_of_area_under_survey,%,5.59,5.59,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Current fallows,area,'000 ha,40,40,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Current fallows,pct_of_area_under_survey,%,6.58,6.58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Net area sown,area,'000 ha,279,279,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Net area sown,pct_of_area_under_survey,%,45.89,45.89,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Total area under survey,area,'000 ha,608,608,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Total area under survey,pct_of_geographical_area,%,69.80,69.80,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Area not included under survey,area,'000 ha,263,263,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,11,Ganjam,0,Geographical area,area,'000 ha,871,871,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Forest,area,'000 ha,4,4,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Forest,pct_of_area_under_survey,%,2.31,2.31,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Land put to non-agricultural uses,area,'000 ha,52,52,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,30.06,30.06,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Barren and un-cultivable land,area,'000 ha,2,2,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Barren and un-cultivable land,pct_of_area_under_survey,%,1.16,1.16,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Permanent pastures and other grazing land,area,'000 ha,9,9,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,5.20,5.20,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,4,4,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,2.31,2.31,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Cultivable waste,area,'000 ha,10,10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Cultivable waste,pct_of_area_under_survey,%,5.78,5.78,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Old fallows,area,'000 ha,4,4,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Old fallows,pct_of_area_under_survey,%,2.31,2.31,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Current fallows,area,'000 ha,6,6,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Current fallows,pct_of_area_under_survey,%,3.47,3.47,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Net area sown,area,'000 ha,82,82,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Net area sown,pct_of_area_under_survey,%,47.40,47.40,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Total area under survey,area,'000 ha,173,173,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Total area under survey,pct_of_geographical_area,%,87.82,87.82,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Area not included under survey,area,'000 ha,24,24,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,12,Jagatsinghpur,0,Geographical area,area,'000 ha,197,197,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Forest,area,'000 ha,10,10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Forest,pct_of_area_under_survey,%,3.76,3.76,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Land put to non-agricultural uses,area,'000 ha,56,56,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,21.05,21.05,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Barren and un-cultivable land,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Barren and un-cultivable land,pct_of_area_under_survey,%,5.64,5.64,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Permanent pastures and other grazing land,area,'000 ha,12,12,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,4.51,4.51,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,5,5,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,1.88,1.88,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Cultivable waste,area,'000 ha,8,8,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Cultivable waste,pct_of_area_under_survey,%,3.01,3.01,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Old fallows,area,'000 ha,11,11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Old fallows,pct_of_area_under_survey,%,4.14,4.14,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Current fallows,area,'000 ha,13,13,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Current fallows,pct_of_area_under_survey,%,4.89,4.89,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Net area sown,area,'000 ha,136,136,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Net area sown,pct_of_area_under_survey,%,51.13,51.13,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Total area under survey,area,'000 ha,266,266,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Total area under survey,pct_of_geographical_area,%,92.04,92.04,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Area not included under survey,area,'000 ha,23,23,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,13,Jajpur,0,Geographical area,area,'000 ha,289,289,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Forest,area,'000 ha,30,30,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Forest,pct_of_area_under_survey,%,17.54,17.54,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Land put to non-agricultural uses,area,'000 ha,33,33,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,19.30,19.30,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Barren and un-cultivable land,area,'000 ha,4,4,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Barren and un-cultivable land,pct_of_area_under_survey,%,2.34,2.34,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Permanent pastures and other grazing land,area,'000 ha,11,11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,6.43,6.43,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,1,1,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,0.58,0.58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Cultivable waste,area,'000 ha,14,14,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Cultivable waste,pct_of_area_under_survey,%,8.19,8.19,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Old fallows,area,'000 ha,17,17,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Old fallows,pct_of_area_under_survey,%,9.94,9.94,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Current fallows,area,'000 ha,19,19,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Current fallows,pct_of_area_under_survey,%,11.11,11.11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Net area sown,area,'000 ha,42,42,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Net area sown,pct_of_area_under_survey,%,24.56,24.56,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Total area under survey,area,'000 ha,171,171,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Total area under survey,pct_of_geographical_area,%,77.73,77.73,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Area not included under survey,area,'000 ha,49,49,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,14,Jharsuguda,0,Geographical area,area,'000 ha,220,220,ok
