reference_year,source_report,pdf_page,table_no,crop_table,product,sl_no,district_as_published,is_state_total,season,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,2,Balangir,0,Winter,production,'000 MT,396.11,396.11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,2,Balangir,0,Summer,area,'000 ha,8.89,8.89,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,2,Balangir,0,Summer,yield_rate,qtl/ha,42.11,42.11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,2,Balangir,0,Summer,yield_rate,qtl/ha,27.79,27.79,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,2,Balangir,0,Summer,production,'000 MT,37.43,37.43,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,2,Balangir,0,Summer,production,'000 MT,24.71,24.71,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,2,Balangir,0,Total,area,'000 ha,200.63,200.63,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,2,Balangir,0,Total,yield_rate,qtl/ha,35.88,35.88,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,2,Balangir,0,Total,yield_rate,qtl/ha,23.68,23.68,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,2,Balangir,0,Total,production,'000 MT,719.92,719.92,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,2,Balangir,0,Total,production,'000 MT,475.15,475.15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Autumn,area,'000 ha,0.02,0.02,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Autumn,yield_rate,qtl/ha,22.76,22.76,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Autumn,yield_rate,qtl/ha,15.00,15.00,ok
