name_as_published,normalised_key,district_id,display_name,label_type,n_sources,occurrences,sources
GAJAPATI,GAJAPATI,OD10,Gajapati,district,2,123,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Ganjam,GANJAM,OD11,Ganjam,district,20,952,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
GANJAM,GANJAM,OD11,Ganjam,district,2,303,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Jagatsinghpur,JAGATSINGHPUR,OD12,Jagatsinghpur,district,18,692,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 6.2; OES_2026:Table 6.7; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
JAGATSINGHPUR,JAGATSINGHPUR,OD12,Jagatsinghpur,district,2,135,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
J.Singhpur,JSINGHPUR,OD12,Jagatsinghpur,district,2,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Jagatsingpur,JAGATSINGPUR,OD12,Jagatsinghpur,district,2,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Jagathsinghpur,JAGATHSINGHPUR,OD12,Jagatsinghpur,district,1,1,OES_2026:Table 5. 8
Jagatsinpur,JAGATSINPUR,OD12,Jagatsinghpur,district,1,1,OES_2026:Table 9.5
Jajpur,JAJPUR,OD13,Jajpur,district,21,741,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
JAJPUR,JAJPUR,OD13,Jajpur,district,2,159,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Jharsuguda,JHARSUGUDA,OD14,Jharsuguda,district,21,636,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
JHARSUGUDA,JHARSUGUDA,OD14,Jharsuguda,district,2,99,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Jharsuguda*,JHARSUGUDA,OD14,Jharsuguda,district,1,6,price_stats_2020_pdf
Jharasuguda,JHARASUGUDA,OD14,Jharsuguda,district,2,4,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Kalahandi,KALAHANDI,OD15,Kalahandi,district,20,791,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
KALAHANDI,KALAHANDI,OD15,Kalahandi,district,2,195,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Kandhamal,KANDHAMAL,OD16,Kandhamal,district,20,772,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
