name_as_published,normalised_key,district_id,display_name,label_type,n_sources,occurrences,sources
Nayagada,NAYAGADA,OD24,Nayagarh,district,6,238,OES_2026:Table 5. 8; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
NAYAGARH,NAYAGARH,OD24,Nayagarh,district,2,135,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Nuapada,NUAPADA,OD25,Nuapada,district,20,479,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
Nuapara,NUAPARA,OD25,Nuapada,district,3,166,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; price_stats_2020_pdf
NUAPADA,NUAPADA,OD25,Nuapada,district,2,99,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Puri,PURI,OD26,Puri,district,20,752,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
PURI,PURI,OD26,Puri,district,2,171,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Rayagada,RAYAGADA,OD27,Rayagada,district,18,516,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf
Raygada,RAYGADA,OD27,Rayagada,district,5,236,earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
RAYAGADA,RAYAGADA,OD27,Rayagada,district,1,144,earas_2022_23:blockwise_LUS_202223
Rayagarh,RAYAGARH,OD27,Rayagada,district,2,4,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Sambalpur,SAMBALPUR,OD28,Sambalpur,district,21,724,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
SAMBALPUR,SAMBALPUR,OD28,Sambalpur,district,2,147,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Subarnapur,SUBARNAPUR,OD29,Subarnapur,district,17,406,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x
Sonepur,SONEPUR,OD29,Subarnapur,district,6,241,OES_2026:Table 9.5; earas_2023_24:dist_paddy_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
SUBARNAPUR,SUBARNAPUR,OD29,Subarnapur,district,2,111,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Subarnpur,SUBARNPUR,OD29,Subarnapur,district,3,16,earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
Sundargarh,SUNDARGARH,OD30,Sundargarh,district,21,851,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
SUNDARGARH,SUNDARGARH,OD30,Sundargarh,district,2,243,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Sundergarh,SUNDERGARH,OD30,Sundargarh,district,2,20,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
