crop,product,reference_year,season,measure,unit,old_value,old_report_year,new_value,new_report_year
Paddy,paddy,2022-23,Summer,area,'000 ha,336,2022-23,335,2023-24
Paddy,paddy,2022-23,Total,area,'000 ha,4065,2022-23,4064,2023-24
