name_as_published,n_sources,sources,occurrences
Subarnapur,17,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x,406
Subarnpur,3,earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,16
Sugarcan,1,earas_report_2022_23:district_tables,1
Sugarcane,1,earas_report_2022_23:district_tables,1
Sundargarh,21,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,851
Sundergarh,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,20
TOTAL,2,OES_2026:Table 3.2; OES_2026:Table 3.6,2
Til,1,earas_report_2022_23:district_tables,2
Total,1,OES_2026:Table 5. 9,1
Wheat,1,earas_report_2022_23:district_tables,2
i.e.,1,earas_report_2023_24:district_tables,1
tMustard,1,earas_report_2022_23:district_tables,1
