Year,District,Block,Block_Urban,Season,Crop,Area_ha,Yield_qtl_per_ha,Production_qtls
2023-24,Sundargarh,Sabadega,Block,Autumn,Paddy,4623,35.33,163325
2023-24,Sundargarh,Sabadega,Block,Winter,Paddy,8865,35.91,318316
2023-24,Sundargarh,Sabadega,Block,Summer,Paddy,2,5.47,11
2023-24,Sundargarh,Balisankara,Block,Autumn,Paddy,5451,21.96,119731
2023-24,Sundargarh,Balisankara,Block,Winter,Paddy,7486,34.08,255089
2023-24,Sundargarh,Balisankara,Block,Summer,Paddy,,,
2023-24,Sundargarh,Badagaon,Block,Autumn,Paddy,530,24.11,12777
2023-24,Sundargarh,Badagaon,Block,Winter,Paddy,4062,37.24,151261
2023-24,Sundargarh,Badagaon,Block,Summer,Paddy,,,
2023-24,Sundargarh,Kutura,Block,Autumn,Paddy,967,20.72,20034
2023-24,Sundargarh,Kutura,Block,Winter,Paddy,5403,32.94,177966
2023-24,Sundargarh,Kutura,Block,Summer,Paddy,23,22.85,525
2023-24,Sundargarh,Rajagangpur,Block,Autumn,Paddy,3592,27.85,100041
2023-24,Sundargarh,Rajagangpur,Block,Winter,Paddy,6728,31.61,212691
2023-24,Sundargarh,Rajagangpur,Block,Summer,Paddy,637,24.46,15580
2023-24,Sundargarh,Gurundia,Block,Autumn,Paddy,8793,29.7,261166
2023-24,Sundargarh,Gurundia,Block,Winter,Paddy,4713,36.87,173771
2023-24,Sundargarh,Gurundia,Block,Summer,Paddy,544,47.69,25942
2023-24,Sundargarh,Bonei,Block,Autumn,Paddy,2379,30,71379
2023-24,Sundargarh,Bonei,Block,Winter,Paddy,4048,42.59,172421
2023-24,Sundargarh,Bonei,Block,Summer,Paddy,,,
2023-24,Sundargarh,Lahunipada,Block,Autumn,Paddy,4248,31.39,133358
2023-24,Sundargarh,Lahunipada,Block,Winter,Paddy,5192,37.96,197104
2023-24,Sundargarh,Lahunipada,Block,Summer,Paddy,26,30.74,799
2023-24,Sundargarh,Lathikata,Block,Autumn,Paddy,2694,27.15,73147
2023-24,Sundargarh,Lathikata,Block,Winter,Paddy,10053,32.24,324148
2023-24,Sundargarh,Lathikata,Block,Summer,Paddy,217,25.44,5520
2023-24,Sundargarh,Kuanramunda,Block,Autumn,Paddy,5141,26.14,134409
2023-24,Sundargarh,Kuanramunda,Block,Winter,Paddy,6906,22.37,154475
2023-24,Sundargarh,Kuanramunda,Block,Summer,Paddy,,,
2023-24,Sundargarh,Nuagaon,Block,Autumn,Paddy,1463,19.61,28688
2023-24,Sundargarh,Nuagaon,Block,Winter,Paddy,12301,30.56,375888
2023-24,Sundargarh,Nuagaon,Block,Summer,Paddy,,,
2023-24,Sundargarh,Bishra,Block,Autumn,Paddy,4682,25.31,118498
2023-24,Sundargarh,Bishra,Block,Winter,Paddy,3111,27.35,85099
2023-24,Sundargarh,Bishra,Block,Summer,Paddy,,,
2023-24,Sundargarh,Koida,Block,Autumn,Paddy,3537,31.34,110856
2023-24,Sundargarh,Koida,Block,Winter,Paddy,3737,33.19,124025
2023-24,Sundargarh,Koida,Block,Summer,Paddy,62,26.06,1616
2023-24,Sundargarh,Urban,Urban,Autumn,Paddy,587,27.61,16207
2023-24,Sundargarh,Urban,Urban,Winter,Paddy,1327,32.4,42997
2023-24,Sundargarh,Urban,Urban,Summer,Paddy,47,23.71,1114
