Year,District,Block,Code,Block_Urban,Land Use Category,Area in Ha
2023-24,Angul,Athamalik,81,Block,Forest,20477
2023-24,Angul,Athamalik,81,Block,Land_put_to_Non_Agricultural_use,5741
2023-24,Angul,Athamalik,81,Block,Barren_&_Non_Cultivable_land,2063
2023-24,Angul,Athamalik,81,Block,Permanent_Pastures_&_other_grazing_land,4793
2023-24,Angul,Athamalik,81,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,431
2023-24,Angul,Athamalik,81,Block,Cultivable_Waste,2196
2023-24,Angul,Athamalik,81,Block,Old_Fallows,5808
2023-24,Angul,Athamalik,81,Block,Current_Fallows,6056
2023-24,Angul,Athamalik,81,Block,Net_Area_Sown_Irrigated,4359
2023-24,Angul,Athamalik,81,Block,Net_Area_Sown_Unirrigated,15998
2023-24,Angul,Athamalik,81,Block,Net_Area_Sown_Total,20357
2023-24,Angul,Athamalik,81,Block,Total_Area_under_Survey,67922
2023-24,Angul,Angul,82,Block,Forest,12152
2023-24,Angul,Angul,82,Block,Land_put_to_Non_Agricultural_use,3196
2023-24,Angul,Angul,82,Block,Barren_&_Non_Cultivable_land,1335
2023-24,Angul,Angul,82,Block,Permanent_Pastures_&_other_grazing_land,3118
2023-24,Angul,Angul,82,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,513
2023-24,Angul,Angul,82,Block,Cultivable_Waste,5351
2023-24,Angul,Angul,82,Block,Old_Fallows,4461
2023-24,Angul,Angul,82,Block,Current_Fallows,4517
2023-24,Angul,Angul,82,Block,Net_Area_Sown_Irrigated,614
2023-24,Angul,Angul,82,Block,Net_Area_Sown_Unirrigated,12950
2023-24,Angul,Angul,82,Block,Net_Area_Sown_Total,13564
2023-24,Angul,Angul,82,Block,Total_Area_under_Survey,48207
2023-24,Angul,Banarpal,90,Block,Forest,1963
2023-24,Angul,Banarpal,90,Block,Land_put_to_Non_Agricultural_use,5998
2023-24,Angul,Banarpal,90,Block,Barren_&_Non_Cultivable_land,168
2023-24,Angul,Banarpal,90,Block,Permanent_Pastures_&_other_grazing_land,2386
2023-24,Angul,Banarpal,90,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,337
2023-24,Angul,Banarpal,90,Block,Cultivable_Waste,1220
2023-24,Angul,Banarpal,90,Block,Old_Fallows,3386
2023-24,Angul,Banarpal,90,Block,Current_Fallows,3928
2023-24,Angul,Banarpal,90,Block,Net_Area_Sown_Irrigated,3770
2023-24,Angul,Banarpal,90,Block,Net_Area_Sown_Unirrigated,10409
2023-24,Angul,Banarpal,90,Block,Net_Area_Sown_Total,14179
2023-24,Angul,Banarpal,90,Block,Total_Area_under_Survey,33565
2023-24,Angul,Kishorenagar,91,Block,Forest,18889
2023-24,Angul,Kishorenagar,91,Block,Land_put_to_Non_Agricultural_use,2864
2023-24,Angul,Kishorenagar,91,Block,Barren_&_Non_Cultivable_land,4639
2023-24,Angul,Kishorenagar,91,Block,Permanent_Pastures_&_other_grazing_land,2214
2023-24,Angul,Kishorenagar,91,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,816
2023-24,Angul,Kishorenagar,91,Block,Cultivable_Waste,2200
2023-24,Angul,Kishorenagar,91,Block,Old_Fallows,3309
2023-24,Angul,Kishorenagar,91,Block,Current_Fallows,7105
2023-24,Angul,Kishorenagar,91,Block,Net_Area_Sown_Irrigated,307
2023-24,Angul,Kishorenagar,91,Block,Net_Area_Sown_Unirrigated,17702
2023-24,Angul,Kishorenagar,91,Block,Net_Area_Sown_Total,18009
2023-24,Angul,Kishorenagar,91,Block,Total_Area_under_Survey,60045
2023-24,Angul,Cheendipada,92,Block,Forest,9510
2023-24,Angul,Cheendipada,92,Block,Land_put_to_Non_Agricultural_use,5023
2023-24,Angul,Cheendipada,92,Block,Barren_&_Non_Cultivable_land,702
2023-24,Angul,Cheendipada,92,Block,Permanent_Pastures_&_other_grazing_land,3612
2023-24,Angul,Cheendipada,92,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,2109
2023-24,Angul,Cheendipada,92,Block,Cultivable_Waste,8366
2023-24,Angul,Cheendipada,92,Block,Old_Fallows,6609
2023-24,Angul,Cheendipada,92,Block,Current_Fallows,7972
2023-24,Angul,Cheendipada,92,Block,Net_Area_Sown_Irrigated,655
2023-24,Angul,Cheendipada,92,Block,Net_Area_Sown_Unirrigated,15370
2023-24,Angul,Cheendipada,92,Block,Net_Area_Sown_Total,16025
2023-24,Angul,Cheendipada,92,Block,Total_Area_under_Survey,59928
2023-24,Angul,Kaniha,93,Block,Forest,12847
2023-24,Angul,Kaniha,93,Block,Land_put_to_Non_Agricultural_use,4776
2023-24,Angul,Kaniha,93,Block,Barren_&_Non_Cultivable_land,990
2023-24,Angul,Kaniha,93,Block,Permanent_Pastures_&_other_grazing_land,2701
2023-24,Angul,Kaniha,93,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,348
2023-24,Angul,Kaniha,93,Block,Cultivable_Waste,2694
2023-24,Angul,Kaniha,93,Block,Old_Fallows,2911
2023-24,Angul,Kaniha,93,Block,Current_Fallows,3232
2023-24,Angul,Kaniha,93,Block,Net_Area_Sown_Irrigated,972
2023-24,Angul,Kaniha,93,Block,Net_Area_Sown_Unirrigated,23170
2023-24,Angul,Kaniha,93,Block,Net_Area_Sown_Total,24142
2023-24,Angul,Kaniha,93,Block,Total_Area_under_Survey,54641
2023-24,Angul,Talcher,94,Block,Forest,4122
2023-24,Angul,Talcher,94,Block,Land_put_to_Non_Agricultural_use,7163
2023-24,Angul,Talcher,94,Block,Barren_&_Non_Cultivable_land,142
2023-24,Angul,Talcher,94,Block,Permanent_Pastures_&_other_grazing_land,964
2023-24,Angul,Talcher,94,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,281
2023-24,Angul,Talcher,94,Block,Cultivable_Waste,1035
2023-24,Angul,Talcher,94,Block,Old_Fallows,3169
2023-24,Angul,Talcher,94,Block,Current_Fallows,4049
2023-24,Angul,Talcher,94,Block,Net_Area_Sown_Irrigated,288
2023-24,Angul,Talcher,94,Block,Net_Area_Sown_Unirrigated,598
2023-24,Angul,Talcher,94,Block,Net_Area_Sown_Total,886
2023-24,Angul,Talcher,94,Block,Total_Area_under_Survey,21811
2023-24,Angul,Palalahada,96,Block,Forest,38773
2023-24,Angul,Palalahada,96,Block,Land_put_to_Non_Agricultural_use,3669
2023-24,Angul,Palalahada,96,Block,Barren_&_Non_Cultivable_land,459
2023-24,Angul,Palalahada,96,Block,Permanent_Pastures_&_other_grazing_land,2166
2023-24,Angul,Palalahada,96,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,357
2023-24,Angul,Palalahada,96,Block,Cultivable_Waste,2562
2023-24,Angul,Palalahada,96,Block,Old_Fallows,5517
2023-24,Angul,Palalahada,96,Block,Current_Fallows,6851
2023-24,Angul,Palalahada,96,Block,Net_Area_Sown_Irrigated,385
2023-24,Angul,Palalahada,96,Block,Net_Area_Sown_Unirrigated,10579
2023-24,Angul,Palalahada,96,Block,Net_Area_Sown_Total,10964
2023-24,Angul,Palalahada,96,Block,Total_Area_under_Survey,71318
2023-24,Angul,URBAN,,Urban,Forest,1671
2023-24,Angul,URBAN,,Urban,Land_put_to_Non_Agricultural_use,541
2023-24,Angul,URBAN,,Urban,Barren_&_Non_Cultivable_land,148
2023-24,Angul,URBAN,,Urban,Permanent_Pastures_&_other_grazing_land,309
2023-24,Angul,URBAN,,Urban,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,73
2023-24,Angul,URBAN,,Urban,Cultivable_Waste,361
2023-24,Angul,URBAN,,Urban,Old_Fallows,495
2023-24,Angul,URBAN,,Urban,Current_Fallows,615
2023-24,Angul,URBAN,,Urban,Net_Area_Sown_Irrigated,63
2023-24,Angul,URBAN,,Urban,Net_Area_Sown_Unirrigated,1007
2023-24,Angul,URBAN,,Urban,Net_Area_Sown_Total,1070
2023-24,Angul,URBAN,,Urban,Total_Area_under_Survey,5283
2023-24,Balangir,Bangomunda,20,Block,Forest,524
2023-24,Balangir,Bangomunda,20,Block,Land_put_to_Non_Agricultural_use,5312
2023-24,Balangir,Bangomunda,20,Block,Barren_&_Non_Cultivable_land,3666
2023-24,Balangir,Bangomunda,20,Block,Permanent_Pastures_&_other_grazing_land,4899
2023-24,Balangir,Bangomunda,20,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,40
2023-24,Balangir,Bangomunda,20,Block,Cultivable_Waste,2225
2023-24,Balangir,Bangomunda,20,Block,Old_Fallows,2038
2023-24,Balangir,Bangomunda,20,Block,Current_Fallows,2493
2023-24,Balangir,Bangomunda,20,Block,Net_Area_Sown_Irrigated,394
2023-24,Balangir,Bangomunda,20,Block,Net_Area_Sown_Unirrigated,11349
2023-24,Balangir,Bangomunda,20,Block,Net_Area_Sown_Total,11743
2023-24,Balangir,Bangomunda,20,Block,Total_Area_under_Survey,32940
2023-24,Balangir,Titilagarh,21,Block,Forest,1304
2023-24,Balangir,Titilagarh,21,Block,Land_put_to_Non_Agricultural_use,3611
2023-24,Balangir,Titilagarh,21,Block,Barren_&_Non_Cultivable_land,1617
2023-24,Balangir,Titilagarh,21,Block,Permanent_Pastures_&_other_grazing_land,2656
2023-24,Balangir,Titilagarh,21,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,60
2023-24,Balangir,Titilagarh,21,Block,Cultivable_Waste,875
2023-24,Balangir,Titilagarh,21,Block,Old_Fallows,821
2023-24,Balangir,Titilagarh,21,Block,Current_Fallows,1153
2023-24,Balangir,Titilagarh,21,Block,Net_Area_Sown_Irrigated,598
2023-24,Balangir,Titilagarh,21,Block,Net_Area_Sown_Unirrigated,22722
2023-24,Balangir,Titilagarh,21,Block,Net_Area_Sown_Total,23320
2023-24,Balangir,Titilagarh,21,Block,Total_Area_under_Survey,35417
2023-24,Balangir,Saintala,22,Block,Forest,11077
2023-24,Balangir,Saintala,22,Block,Land_put_to_Non_Agricultural_use,3553
2023-24,Balangir,Saintala,22,Block,Barren_&_Non_Cultivable_land,552
2023-24,Balangir,Saintala,22,Block,Permanent_Pastures_&_other_grazing_land,4502
2023-24,Balangir,Saintala,22,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,26
2023-24,Balangir,Saintala,22,Block,Cultivable_Waste,591
2023-24,Balangir,Saintala,22,Block,Old_Fallows,1005
2023-24,Balangir,Saintala,22,Block,Current_Fallows,6068
2023-24,Balangir,Saintala,22,Block,Net_Area_Sown_Irrigated,891
2023-24,Balangir,Saintala,22,Block,Net_Area_Sown_Unirrigated,14859
2023-24,Balangir,Saintala,22,Block,Net_Area_Sown_Total,15750
2023-24,Balangir,Saintala,22,Block,Total_Area_under_Survey,43124
2023-24,Balangir,Muribahal,23,Block,Forest,2920
2023-24,Balangir,Muribahal,23,Block,Land_put_to_Non_Agricultural_use,3871
2023-24,Balangir,Muribahal,23,Block,Barren_&_Non_Cultivable_land,2319
2023-24,Balangir,Muribahal,23,Block,Permanent_Pastures_&_other_grazing_land,3797
2023-24,Balangir,Muribahal,23,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,22
2023-24,Balangir,Muribahal,23,Block,Cultivable_Waste,503
2023-24,Balangir,Muribahal,23,Block,Old_Fallows,789
2023-24,Balangir,Muribahal,23,Block,Current_Fallows,2998
2023-24,Balangir,Muribahal,23,Block,Net_Area_Sown_Irrigated,822
2023-24,Balangir,Muribahal,23,Block,Net_Area_Sown_Unirrigated,21969
2023-24,Balangir,Muribahal,23,Block,Net_Area_Sown_Total,22791
2023-24,Balangir,Muribahal,23,Block,Total_Area_under_Survey,40010
2023-24,Balangir,Tureikela,24,Block,Forest,3195
2023-24,Balangir,Tureikela,24,Block,Land_put_to_Non_Agricultural_use,1866
2023-24,Balangir,Tureikela,24,Block,Barren_&_Non_Cultivable_land,1253
2023-24,Balangir,Tureikela,24,Block,Permanent_Pastures_&_other_grazing_land,1964
2023-24,Balangir,Tureikela,24,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,60
2023-24,Balangir,Tureikela,24,Block,Cultivable_Waste,2704
2023-24,Balangir,Tureikela,24,Block,Old_Fallows,2210
2023-24,Balangir,Tureikela,24,Block,Current_Fallows,1152
2023-24,Balangir,Tureikela,24,Block,Net_Area_Sown_Irrigated,410
2023-24,Balangir,Tureikela,24,Block,Net_Area_Sown_Unirrigated,18971
2023-24,Balangir,Tureikela,24,Block,Net_Area_Sown_Total,19381
2023-24,Balangir,Tureikela,24,Block,Total_Area_under_Survey,33785
2023-24,Balangir,Belapara,25,Block,Forest,5415
2023-24,Balangir,Belapara,25,Block,Land_put_to_Non_Agricultural_use,4787
2023-24,Balangir,Belapara,25,Block,Barren_&_Non_Cultivable_land,396
2023-24,Balangir,Belapara,25,Block,Permanent_Pastures_&_other_grazing_land,1941
2023-24,Balangir,Belapara,25,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,165
2023-24,Balangir,Belapara,25,Block,Cultivable_Waste,1094
2023-24,Balangir,Belapara,25,Block,Old_Fallows,3499
2023-24,Balangir,Belapara,25,Block,Current_Fallows,6032
2023-24,Balangir,Belapara,25,Block,Net_Area_Sown_Irrigated,671
2023-24,Balangir,Belapara,25,Block,Net_Area_Sown_Unirrigated,25787
2023-24,Balangir,Belapara,25,Block,Net_Area_Sown_Total,26458
2023-24,Balangir,Belapara,25,Block,Total_Area_under_Survey,49787
2023-24,Balangir,Khaprakhol,26,Block,Forest,2055
2023-24,Balangir,Khaprakhol,26,Block,Land_put_to_Non_Agricultural_use,3651
2023-24,Balangir,Khaprakhol,26,Block,Barren_&_Non_Cultivable_land,1123
2023-24,Balangir,Khaprakhol,26,Block,Permanent_Pastures_&_other_grazing_land,2716
2023-24,Balangir,Khaprakhol,26,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,94
2023-24,Balangir,Khaprakhol,26,Block,Cultivable_Waste,2760
2023-24,Balangir,Khaprakhol,26,Block,Old_Fallows,2348
2023-24,Balangir,Khaprakhol,26,Block,Current_Fallows,6150
2023-24,Balangir,Khaprakhol,26,Block,Net_Area_Sown_Irrigated,2225
2023-24,Balangir,Khaprakhol,26,Block,Net_Area_Sown_Unirrigated,21721
2023-24,Balangir,Khaprakhol,26,Block,Net_Area_Sown_Total,23946
2023-24,Balangir,Khaprakhol,26,Block,Total_Area_under_Survey,44843
2023-24,Balangir,Patnagarh,27,Block,Forest,8419
2023-24,Balangir,Patnagarh,27,Block,Land_put_to_Non_Agricultural_use,3166
2023-24,Balangir,Patnagarh,27,Block,Barren_&_Non_Cultivable_land,1637
2023-24,Balangir,Patnagarh,27,Block,Permanent_Pastures_&_other_grazing_land,3923
2023-24,Balangir,Patnagarh,27,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,112
2023-24,Balangir,Patnagarh,27,Block,Cultivable_Waste,1431
2023-24,Balangir,Patnagarh,27,Block,Old_Fallows,3159
2023-24,Balangir,Patnagarh,27,Block,Current_Fallows,8924
2023-24,Balangir,Patnagarh,27,Block,Net_Area_Sown_Irrigated,2797
2023-24,Balangir,Patnagarh,27,Block,Net_Area_Sown_Unirrigated,25648
2023-24,Balangir,Patnagarh,27,Block,Net_Area_Sown_Total,28445
2023-24,Balangir,Patnagarh,27,Block,Total_Area_under_Survey,59216
2023-24,Balangir,Deogaon,28,Block,Forest,7482
2023-24,Balangir,Deogaon,28,Block,Land_put_to_Non_Agricultural_use,4018
2023-24,Balangir,Deogaon,28,Block,Barren_&_Non_Cultivable_land,1767
2023-24,Balangir,Deogaon,28,Block,Permanent_Pastures_&_other_grazing_land,3488
2023-24,Balangir,Deogaon,28,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,92
2023-24,Balangir,Deogaon,28,Block,Cultivable_Waste,1411
2023-24,Balangir,Deogaon,28,Block,Old_Fallows,2236
2023-24,Balangir,Deogaon,28,Block,Current_Fallows,4305
2023-24,Balangir,Deogaon,28,Block,Net_Area_Sown_Irrigated,1856
2023-24,Balangir,Deogaon,28,Block,Net_Area_Sown_Unirrigated,16420
2023-24,Balangir,Deogaon,28,Block,Net_Area_Sown_Total,18276
2023-24,Balangir,Deogaon,28,Block,Total_Area_under_Survey,43075
2023-24,Balangir,Tentulikhunti,29,Block,Forest,4000
2023-24,Balangir,Tentulikhunti,29,Block,Land_put_to_Non_Agricultural_use,1724
2023-24,Balangir,Tentulikhunti,29,Block,Barren_&_Non_Cultivable_land,743
2023-24,Balangir,Tentulikhunti,29,Block,Permanent_Pastures_&_other_grazing_land,911
2023-24,Balangir,Tentulikhunti,29,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,23
2023-24,Balangir,Tentulikhunti,29,Block,Cultivable_Waste,237
2023-24,Balangir,Tentulikhunti,29,Block,Old_Fallows,382
2023-24,Balangir,Tentulikhunti,29,Block,Current_Fallows,1291
2023-24,Balangir,Tentulikhunti,29,Block,Net_Area_Sown_Irrigated,1805
2023-24,Balangir,Tentulikhunti,29,Block,Net_Area_Sown_Unirrigated,7534
2023-24,Balangir,Tentulikhunti,29,Block,Net_Area_Sown_Total,9339
2023-24,Balangir,Tentulikhunti,29,Block,Total_Area_under_Survey,18650
2023-24,Balangir,Puintala,31,Block,Forest,268
2023-24,Balangir,Puintala,31,Block,Land_put_to_Non_Agricultural_use,5295
2023-24,Balangir,Puintala,31,Block,Barren_&_Non_Cultivable_land,793
2023-24,Balangir,Puintala,31,Block,Permanent_Pastures_&_other_grazing_land,2066
2023-24,Balangir,Puintala,31,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,79
2023-24,Balangir,Puintala,31,Block,Cultivable_Waste,3143
2023-24,Balangir,Puintala,31,Block,Old_Fallows,4625
2023-24,Balangir,Puintala,31,Block,Current_Fallows,6915
2023-24,Balangir,Puintala,31,Block,Net_Area_Sown_Irrigated,694
2023-24,Balangir,Puintala,31,Block,Net_Area_Sown_Unirrigated,10015
2023-24,Balangir,Puintala,31,Block,Net_Area_Sown_Total,10709
2023-24,Balangir,Puintala,31,Block,Total_Area_under_Survey,33893
2023-24,Balangir,Balangir,32,Block,Forest,8669
2023-24,Balangir,Balangir,32,Block,Land_put_to_Non_Agricultural_use,2910
2023-24,Balangir,Balangir,32,Block,Barren_&_Non_Cultivable_land,430
2023-24,Balangir,Balangir,32,Block,Permanent_Pastures_&_other_grazing_land,3146
2023-24,Balangir,Balangir,32,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,64
2023-24,Balangir,Balangir,32,Block,Cultivable_Waste,3191
2023-24,Balangir,Balangir,32,Block,Old_Fallows,4200
2023-24,Balangir,Balangir,32,Block,Current_Fallows,7519
2023-24,Balangir,Balangir,32,Block,Net_Area_Sown_Irrigated,762
2023-24,Balangir,Balangir,32,Block,Net_Area_Sown_Unirrigated,8524
2023-24,Balangir,Balangir,32,Block,Net_Area_Sown_Total,9286
2023-24,Balangir,Balangir,32,Block,Total_Area_under_Survey,39415
2023-24,Balangir,Loisingha,33,Block,Forest,3900
2023-24,Balangir,Loisingha,33,Block,Land_put_to_Non_Agricultural_use,6115
2023-24,Balangir,Loisingha,33,Block,Barren_&_Non_Cultivable_land,1801
2023-24,Balangir,Loisingha,33,Block,Permanent_Pastures_&_other_grazing_land,2397
2023-24,Balangir,Loisingha,33,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,689
2023-24,Balangir,Loisingha,33,Block,Cultivable_Waste,1417
2023-24,Balangir,Loisingha,33,Block,Old_Fallows,1401
2023-24,Balangir,Loisingha,33,Block,Current_Fallows,3664
2023-24,Balangir,Loisingha,33,Block,Net_Area_Sown_Irrigated,1419
2023-24,Balangir,Loisingha,33,Block,Net_Area_Sown_Unirrigated,8709
2023-24,Balangir,Loisingha,33,Block,Net_Area_Sown_Total,10128
2023-24,Balangir,Loisingha,33,Block,Total_Area_under_Survey,31512
2023-24,Balangir,Agalpur,34,Block,Forest,1034
2023-24,Balangir,Agalpur,34,Block,Land_put_to_Non_Agricultural_use,3682
2023-24,Balangir,Agalpur,34,Block,Barren_&_Non_Cultivable_land,180
2023-24,Balangir,Agalpur,34,Block,Permanent_Pastures_&_other_grazing_land,1184
2023-24,Balangir,Agalpur,34,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,40
2023-24,Balangir,Agalpur,34,Block,Cultivable_Waste,947
2023-24,Balangir,Agalpur,34,Block,Old_Fallows,1463
2023-24,Balangir,Agalpur,34,Block,Current_Fallows,3918
2023-24,Balangir,Agalpur,34,Block,Net_Area_Sown_Irrigated,3337
2023-24,Balangir,Agalpur,34,Block,Net_Area_Sown_Unirrigated,13980
2023-24,Balangir,Agalpur,34,Block,Net_Area_Sown_Total,17317
2023-24,Balangir,Agalpur,34,Block,Total_Area_under_Survey,29765
2023-24,Balangir,URBAN,,Urban,Forest,1528
2023-24,Balangir,URBAN,,Urban,Land_put_to_Non_Agricultural_use,1358
2023-24,Balangir,URBAN,,Urban,Barren_&_Non_Cultivable_land,463
2023-24,Balangir,URBAN,,Urban,Permanent_Pastures_&_other_grazing_land,1004
2023-24,Balangir,URBAN,,Urban,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,40
2023-24,Balangir,URBAN,,Urban,Cultivable_Waste,571
2023-24,Balangir,URBAN,,Urban,Old_Fallows,765
2023-24,Balangir,URBAN,,Urban,Current_Fallows,1587
2023-24,Balangir,URBAN,,Urban,Net_Area_Sown_Irrigated,15
2023-24,Balangir,URBAN,,Urban,Net_Area_Sown_Unirrigated,964
2023-24,Balangir,URBAN,,Urban,Net_Area_Sown_Total,979
2023-24,Balangir,URBAN,,Urban,Total_Area_under_Survey,8295
2023-24,Balasore,Khira,7,Block,Forest,453
2023-24,Balasore,Khira,7,Block,Land_put_to_Non_Agricultural_use,6122
2023-24,Balasore,Khira,7,Block,Barren_&_Non_Cultivable_land,369
2023-24,Balasore,Khira,7,Block,Permanent_Pastures_&_other_grazing_land,1540
2023-24,Balasore,Khira,7,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,565
2023-24,Balasore,Khira,7,Block,Cultivable_Waste,1498
2023-24,Balasore,Khira,7,Block,Old_Fallows,1286
2023-24,Balasore,Khira,7,Block,Current_Fallows,1710
2023-24,Balasore,Khira,7,Block,Net_Area_Sown_Irrigated,4071
2023-24,Balasore,Khira,7,Block,Net_Area_Sown_Unirrigated,14993
2023-24,Balasore,Khira,7,Block,Net_Area_Sown_Total,19064
2023-24,Balasore,Khira,7,Block,Total_Area_under_Survey,32607
2023-24,Balasore,Simulia,8,Block,Forest,59
2023-24,Balasore,Simulia,8,Block,Land_put_to_Non_Agricultural_use,4130
2023-24,Balasore,Simulia,8,Block,Barren_&_Non_Cultivable_land,0
2023-24,Balasore,Simulia,8,Block,Permanent_Pastures_&_other_grazing_land,778
2023-24,Balasore,Simulia,8,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,671
2023-24,Balasore,Simulia,8,Block,Cultivable_Waste,436
2023-24,Balasore,Simulia,8,Block,Old_Fallows,617
2023-24,Balasore,Simulia,8,Block,Current_Fallows,970
2023-24,Balasore,Simulia,8,Block,Net_Area_Sown_Irrigated,12964
2023-24,Balasore,Simulia,8,Block,Net_Area_Sown_Unirrigated,97
2023-24,Balasore,Simulia,8,Block,Net_Area_Sown_Total,13061
2023-24,Balasore,Simulia,8,Block,Total_Area_under_Survey,20722
2023-24,Balasore,Soro,10,Block,Forest,1478
2023-24,Balasore,Soro,10,Block,Land_put_to_Non_Agricultural_use,3792
2023-24,Balasore,Soro,10,Block,Barren_&_Non_Cultivable_land,1385
2023-24,Balasore,Soro,10,Block,Permanent_Pastures_&_other_grazing_land,1122
2023-24,Balasore,Soro,10,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,422
2023-24,Balasore,Soro,10,Block,Cultivable_Waste,927
2023-24,Balasore,Soro,10,Block,Old_Fallows,475
2023-24,Balasore,Soro,10,Block,Current_Fallows,2486
2023-24,Balasore,Soro,10,Block,Net_Area_Sown_Irrigated,1021
2023-24,Balasore,Soro,10,Block,Net_Area_Sown_Unirrigated,9831
2023-24,Balasore,Soro,10,Block,Net_Area_Sown_Total,10852
2023-24,Balasore,Soro,10,Block,Total_Area_under_Survey,22939
2023-24,Balasore,Oupada,11,Block,Forest,446
2023-24,Balasore,Oupada,11,Block,Land_put_to_Non_Agricultural_use,2156
2023-24,Balasore,Oupada,11,Block,Barren_&_Non_Cultivable_land,72
2023-24,Balasore,Oupada,11,Block,Permanent_Pastures_&_other_grazing_land,255
2023-24,Balasore,Oupada,11,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,270
2023-24,Balasore,Oupada,11,Block,Cultivable_Waste,663
2023-24,Balasore,Oupada,11,Block,Old_Fallows,2079
2023-24,Balasore,Oupada,11,Block,Current_Fallows,2000
2023-24,Balasore,Oupada,11,Block,Net_Area_Sown_Irrigated,387
2023-24,Balasore,Oupada,11,Block,Net_Area_Sown_Unirrigated,8682
2023-24,Balasore,Oupada,11,Block,Net_Area_Sown_Total,9069
2023-24,Balasore,Oupada,11,Block,Total_Area_under_Survey,17010
2023-24,Balasore,Nilagiri,12,Block,Forest,2266
2023-24,Balasore,Nilagiri,12,Block,Land_put_to_Non_Agricultural_use,2803
2023-24,Balasore,Nilagiri,12,Block,Barren_&_Non_Cultivable_land,25
2023-24,Balasore,Nilagiri,12,Block,Permanent_Pastures_&_other_grazing_land,1048
2023-24,Balasore,Nilagiri,12,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,174
2023-24,Balasore,Nilagiri,12,Block,Cultivable_Waste,1104
2023-24,Balasore,Nilagiri,12,Block,Old_Fallows,383
2023-24,Balasore,Nilagiri,12,Block,Current_Fallows,810
2023-24,Balasore,Nilagiri,12,Block,Net_Area_Sown_Irrigated,497
2023-24,Balasore,Nilagiri,12,Block,Net_Area_Sown_Unirrigated,15554
2023-24,Balasore,Nilagiri,12,Block,Net_Area_Sown_Total,16051
2023-24,Balasore,Nilagiri,12,Block,Total_Area_under_Survey,24664
2023-24,Balasore,Bahanaga,13,Block,Forest,482
2023-24,Balasore,Bahanaga,13,Block,Land_put_to_Non_Agricultural_use,3166
2023-24,Balasore,Bahanaga,13,Block,Barren_&_Non_Cultivable_land,634
2023-24,Balasore,Bahanaga,13,Block,Permanent_Pastures_&_other_grazing_land,553
2023-24,Balasore,Bahanaga,13,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,388
2023-24,Balasore,Bahanaga,13,Block,Cultivable_Waste,1089
2023-24,Balasore,Bahanaga,13,Block,Old_Fallows,630
2023-24,Balasore,Bahanaga,13,Block,Current_Fallows,1549
2023-24,Balasore,Bahanaga,13,Block,Net_Area_Sown_Irrigated,1728
2023-24,Balasore,Bahanaga,13,Block,Net_Area_Sown_Unirrigated,14842
2023-24,Balasore,Bahanaga,13,Block,Net_Area_Sown_Total,16570
2023-24,Balasore,Bahanaga,13,Block,Total_Area_under_Survey,25061
2023-24,Balasore,Remuna,14,Block,Forest,45
2023-24,Balasore,Remuna,14,Block,Land_put_to_Non_Agricultural_use,5073
2023-24,Balasore,Remuna,14,Block,Barren_&_Non_Cultivable_land,0
2023-24,Balasore,Remuna,14,Block,Permanent_Pastures_&_other_grazing_land,1594
2023-24,Balasore,Remuna,14,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,861
2023-24,Balasore,Remuna,14,Block,Cultivable_Waste,2788
2023-24,Balasore,Remuna,14,Block,Old_Fallows,1872
2023-24,Balasore,Remuna,14,Block,Current_Fallows,3450
