Year,District,Season,Minor_Crop ,Area_ha,Yield_rate_qtl_per_ha,Production_qtls
2023-24,Nuapada,Winter,Mustard,634,1.62,1027
2023-24,Nuapada,Winter,Nizer,,,
2023-24,Nuapada,Winter,Jute,,,
2023-24,Nuapada,Winter,Potato,350,50.65,17728
2023-24,Nuapada,Winter,Sugarcane,9,452,4068
2023-24,Puri,Autumn,Wheat,,,
2023-24,Puri,Autumn,Maize,,,
2023-24,Puri,Autumn,Ragi,,,
2023-24,Puri,Autumn,Mung,,,
2023-24,Puri,Autumn,Biri,,,
2023-24,Puri,Autumn,Kulthi,,,
2023-24,Puri,Autumn,Til,,,
2023-24,Puri,Autumn,Groundnut,,,
2023-24,Puri,Autumn,Mustard,,,
2023-24,Puri,Autumn,Nizer,,,
2023-24,Puri,Autumn,Jute,,,
2023-24,Puri,Autumn,Potato,,,
2023-24,Puri,Autumn,Sugarcane,,,
2023-24,Puri,Summer,Wheat,,,
2023-24,Puri,Summer,Maize,6,19.83,119
2023-24,Puri,Summer,Ragi,7,8.48,59
2023-24,Puri,Summer,Mung,21151,4.37,92430
2023-24,Puri,Summer,Biri,6322,4.53,28639
2023-24,Puri,Summer,Kulthi,,,
2023-24,Puri,Summer,Til,165,3.15,520
2023-24,Puri,Summer,Groundnut,2384,22.4,53402
2023-24,Puri,Summer,Mustard,,,
2023-24,Puri,Summer,Nizer,,,
2023-24,Puri,Summer,Jute,,,
2023-24,Puri,Summer,Potato,,,
2023-24,Puri,Summer,Sugarcane,,,
2023-24,Puri,Winter,Wheat,,,
2023-24,Puri,Winter,Maize,,,
2023-24,Puri,Winter,Ragi,S,6.71,
2023-24,Puri,Winter,Mung,,,
2023-24,Puri,Winter,Biri,430,3.99,1716
2023-24,Puri,Winter,Kulthi,499,4.38,2186
2023-24,Puri,Winter,Til,,,
2023-24,Puri,Winter,Groundnut,,,
2023-24,Puri,Winter,Mustard,41,2.57,105
2023-24,Puri,Winter,Nizer,,,
2023-24,Puri,Winter,Jute,,,
2023-24,Puri,Winter,Potato,155,134.22,20804
2023-24,Puri,Winter,Sugarcane,26,531,13806
2023-24,Raygada,Autumn,Wheat,,,
2023-24,Raygada,Autumn,Maize,2401,18.52,44465
2023-24,Raygada,Autumn,Ragi,804,6.84,5499
2023-24,Raygada,Autumn,Mung,,,
2023-24,Raygada,Autumn,Biri,,,
2023-24,Raygada,Autumn,Kulthi,,,
2023-24,Raygada,Autumn,Til,,,
2023-24,Raygada,Autumn,Groundnut,111,13.56,1505
2023-24,Raygada,Autumn,Mustard,,,
2023-24,Raygada,Autumn,Nizer,,,
2023-24,Raygada,Autumn,Jute,,,
2023-24,Raygada,Autumn,Potato,,,
2023-24,Raygada,Autumn,Sugarcane,,,
2023-24,Raygada,Summer,Wheat,,,
2023-24,Raygada,Summer,Maize,35,21.62,757
2023-24,Raygada,Summer,Ragi,18,8.55,154
2023-24,Raygada,Summer,Mung,2,3.39,7
2023-24,Raygada,Summer,Biri,26,2.96,77
2023-24,Raygada,Summer,Kulthi,,,
2023-24,Raygada,Summer,Til,48,3.11,149
2023-24,Raygada,Summer,Groundnut,57,19.78,1127
2023-24,Raygada,Summer,Mustard,,,
2023-24,Raygada,Summer,Nizer,,,
2023-24,Raygada,Summer,Jute,,,
2023-24,Raygada,Summer,Potato,,,
2023-24,Raygada,Summer,Sugarcane,,,
2023-24,Raygada,Winter,Wheat,,,
2023-24,Raygada,Winter,Maize,14,15.36,215
2023-24,Raygada,Winter,Ragi,10835,8.12,87980
2023-24,Raygada,Winter,Mung,1493,3.17,4733
2023-24,Raygada,Winter,Biri,4298,2.81,12077
2023-24,Raygada,Winter,Kulthi,2206,3.49,7699
2023-24,Raygada,Winter,Til,1651,2.79,4606
2023-24,Raygada,Winter,Groundnut,880,12.37,10886
2023-24,Raygada,Winter,Mustard,1097,2.01,2205
2023-24,Raygada,Winter,Nizer,2630,2.82,7417
2023-24,Raygada,Winter,Jute,,,
2023-24,Raygada,Winter,Potato,84,135.25,11361
2023-24,Raygada,Winter,Sugarcane,,,
2023-24,Sambalpur,Autumn,Wheat,,,
2023-24,Sambalpur,Autumn,Maize,224,28.08,6290
2023-24,Sambalpur,Autumn,Ragi,31,1.13,35
2023-24,Sambalpur,Autumn,Mung,59,7.17,423
2023-24,Sambalpur,Autumn,Biri,59,5.75,339
2023-24,Sambalpur,Autumn,Kulthi,,,
2023-24,Sambalpur,Autumn,Til,,,
2023-24,Sambalpur,Autumn,Groundnut,160,11.59,1854
2023-24,Sambalpur,Autumn,Mustard,,,
2023-24,Sambalpur,Autumn,Nizer,,,
2023-24,Sambalpur,Autumn,Jute,,,
2023-24,Sambalpur,Autumn,Potato,,,
2023-24,Sambalpur,Autumn,Sugarcane,,,
2023-24,Sambalpur,Summer,Wheat,,,
2023-24,Sambalpur,Summer,Maize,,,
2023-24,Sambalpur,Summer,Ragi,13,7.16,93
2023-24,Sambalpur,Summer,Mung,608,6.91,4201
2023-24,Sambalpur,Summer,Biri,5,5.25,26
2023-24,Sambalpur,Summer,Kulthi,,,
2023-24,Sambalpur,Summer,Til,19,3.29,63
2023-24,Sambalpur,Summer,Groundnut,90,18.43,1659
2023-24,Sambalpur,Summer,Mustard,,,
2023-24,Sambalpur,Summer,Nizer,,,
2023-24,Sambalpur,Summer,Jute,,,
2023-24,Sambalpur,Summer,Potato,,,
2023-24,Sambalpur,Summer,Sugarcane,,,
2023-24,Sambalpur,Winter,Wheat,,,
2023-24,Sambalpur,Winter,Maize,,,
2023-24,Sambalpur,Winter,Ragi,,,
2023-24,Sambalpur,Winter,Mung,532,6.36,3384
2023-24,Sambalpur,Winter,Biri,188,5.48,1030
2023-24,Sambalpur,Winter,Kulthi,413,5.38,2222
2023-24,Sambalpur,Winter,Til,398,3.38,1345
2023-24,Sambalpur,Winter,Groundnut,,,
2023-24,Sambalpur,Winter,Mustard,1098,6.85,7521
2023-24,Sambalpur,Winter,Nizer,,,
2023-24,Sambalpur,Winter,Jute,,,
2023-24,Sambalpur,Winter,Potato,489,128.8,62983
2023-24,Sambalpur,Winter,Sugarcane,,,
2023-24,Subarnapur,Autumn,Maize,,,
2023-24,Subarnapur,Autumn,Ragi,,,
2023-24,Subarnapur,Autumn,Mung,140,3.9,546
2023-24,Subarnapur,Autumn,Biri,,,
2023-24,Subarnapur,Autumn,Kulthi,,,
2023-24,Subarnapur,Autumn,Til,,,
2023-24,Subarnapur,Autumn,Groundnut,,,
2023-24,Subarnapur,Autumn,Mustard,,,
2023-24,Subarnapur,Autumn,Nizer,,,
2023-24,Subarnapur,Autumn,Jute,,,
2023-24,Subarnapur,Autumn,Potato,,,
2023-24,Subarnapur,Autumn,Sugarcane,,,
2023-24,Subarnapur,Summer,Maize,,,
2023-24,Subarnapur,Summer,Ragi,,,
2023-24,Subarnapur,Summer,Mung,1693,3.81,6450
2023-24,Subarnapur,Summer,Biri,,,
2023-24,Subarnapur,Summer,Kulthi,,,
2023-24,Subarnapur,Summer,Til,6,1.17,7
2023-24,Subarnapur,Summer,Groundnut,152,18.64,2833
2023-24,Subarnapur,Summer,Mustard,,,
2023-24,Subarnapur,Summer,Nizer,,,
2023-24,Subarnapur,Summer,Jute,,,
2023-24,Subarnapur,Summer,Potato,,,
2023-24,Subarnapur,Summer,Sugarcane,,,
2023-24,Subarnapur,Winter,Maize,,,
2023-24,Subarnapur,Winter,Ragi,2,8.67,17
2023-24,Subarnapur,Winter,Mung,105,3.13,329
2023-24,Subarnapur,Winter,Biri,,,
2023-24,Subarnapur,Winter,Kulthi,218,4.03,879
2023-24,Subarnapur,Winter,Til,,,
2023-24,Subarnapur,Winter,Groundnut,,,
2023-24,Subarnapur,Winter,Mustard,42,3.88,163
2023-24,Subarnapur,Winter,Nizer,,,
2023-24,Subarnapur,Winter,Jute,,,
2023-24,Subarnapur,Winter,Potato,,,
2023-24,Subarnapur,Winter,Sugarcane,,,
2023-24,Subarnpur,Autumn,Wheat,,,
2023-24,Subarnpur,Summer,Wheat,,,
2023-24,Subarnpur,Winter,Wheat,,,
2023-24,Sundargarh,Autumn,Wheat,,,
2023-24,Sundargarh,Autumn,Maize,808,30.62,24744
2023-24,Sundargarh,Autumn,Ragi,658,7.38,4856
2023-24,Sundargarh,Autumn,Mung,646,4.62,2985
2023-24,Sundargarh,Autumn,Biri,714,4.87,3477
2023-24,Sundargarh,Autumn,Kulthi,,,
2023-24,Sundargarh,Autumn,Til,9,2.35,21
2023-24,Sundargarh,Autumn,Groundnut,1120,10.37,11614
2023-24,Sundargarh,Autumn,Mustard,,,
2023-24,Sundargarh,Autumn,Nizer,,,
2023-24,Sundargarh,Autumn,Jute,,,
2023-24,Sundargarh,Autumn,Potato,,,
2023-24,Sundargarh,Autumn,Sugarcane,,,
2023-24,Sundargarh,Summer,Wheat,33,16.7,551
2023-24,Sundargarh,Summer,Maize,21,14.48,304
2023-24,Sundargarh,Summer,Ragi,38,7.41,282
2023-24,Sundargarh,Summer,Mung,1561,5.52,8617
2023-24,Sundargarh,Summer,Biri,97,5.92,574
2023-24,Sundargarh,Summer,Kulthi,,,
2023-24,Sundargarh,Summer,Til,67,2.21,148
2023-24,Sundargarh,Summer,Groundnut,506,19.73,9983
2023-24,Sundargarh,Summer,Mustard,,,
2023-24,Sundargarh,Summer,Nizer,,,
2023-24,Sundargarh,Summer,Jute,,,
2023-24,Sundargarh,Summer,Potato,,,
2023-24,Sundargarh,Summer,Sugarcane,,,
2023-24,Sundargarh,Winter,Wheat,,,
2023-24,Sundargarh,Winter,Maize,39,31.3,1221
2023-24,Sundargarh,Winter,Ragi,637,7.52,4790
2023-24,Sundargarh,Winter,Mung,107,5.58,597
2023-24,Sundargarh,Winter,Biri,310,3.89,1206
2023-24,Sundargarh,Winter,Kulthi,1699,4.61,7832
2023-24,Sundargarh,Winter,Til,1052,3.76,3956
2023-24,Sundargarh,Winter,Groundnut,,,
2023-24,Sundargarh,Winter,Mustard,3332,6.35,21158
2023-24,Sundargarh,Winter,Nizer,64,2.96,189
2023-24,Sundargarh,Winter,Jute,,,
2023-24,Sundargarh,Winter,Potato,1333,103.26,137646
2023-24,Sundargarh,Winter,Sugarcane,137,1089.87,149312
